,index,slope,r,p
0,GEORGIA_DAWSON,,0.0,
1,GEORGIA_HALL,-1.6773809523809529,-0.34643367109646406,0.400537721234331
2,GEORGIA_OTHER (COMBINED) COUNTIES,3.428333333333333,0.6572039276381038,0.05442866179488912
3,GEORGIA_UNION,15.500000000000007,0.6806018283942487,0.5234367782736484
4,GEORGIA_WALTON,-6.8999999999999915,-1.0,0.0
5,GEORGIA_WHITE,8.849999999999994,0.6599640040940933,0.5411430266961488
6,INDIANA_CARROLL,5.6848484848484855,0.5889626685605542,0.07321520537269799
7,INDIANA_CASS,7.316666666666667,0.5920057498279244,0.09305963145132289
8,INDIANA_ELKHART,4.068484848484848,0.462369475585254,0.1784722853447694
9,INDIANA_FULTON,3.8445454545454547,0.5968607537701568,0.0525518702485996
10,INDIANA_KOSCIUSKO,4.21909090909091,0.620511774507675,0.041648065154888364
11,INDIANA_MARSHALL,3.974545454545454,0.5096596521814885,0.10927447680526528
12,INDIANA_MIAMI,5.881666666666668,0.7104933903240173,0.031940448624323284
13,INDIANA_OTHER (COMBINED) COUNTIES,31.299999999999983,1.0,0.0
14,INDIANA_ST. JOSEPH,1.7063636363636359,0.4812121366487879,0.1339943369999012
15,INDIANA_WABASH,5.6484848484848476,0.6039442322546968,0.06445124063028061
16,IOWA_BUTLER,5.2172727272727295,0.6493441841625583,0.03061002030335092
17,IOWA_CERRO GORDO,4.71909090909091,0.6680103405190126,0.024673355848076537
18,IOWA_FLOYD,4.823636363636364,0.6595961665631128,0.027237927335712085
19,IOWA_FRANKLIN,2.9372727272727284,0.5258805501196625,0.09660539212987747
20,IOWA_HANCOCK,4.155454545454544,0.7015626183086844,0.016128914768067514
21,IOWA_HUMBOLDT,3.4545454545454546,0.5461678139013076,0.08216939750884086
22,IOWA_KOSSUTH,2.4972727272727266,0.5766142055181106,0.06331802279731287
23,IOWA_MITCHELL,4.96818181818182,0.7007431960109674,0.01630764738832865
24,IOWA_WINNEBAGO,4.240000000000001,0.6951600966541845,0.017563482257041383
25,IOWA_WORTH,5.074545454545455,0.7732803300447102,0.005246234471756921
26,IOWA_WRIGHT,2.3727272727272717,0.4857278976347857,0.12985372203351958
27,KANSAS_CLAY,5.729999999999999,0.6738216036365626,0.3261783963634375
28,KANSAS_CLOUD,4.235714285714287,0.42301733659571467,0.34435299624024246
29,KANSAS_JEWELL,9.905714285714286,0.697663118997142,0.12329344164978033
30,KANSAS_MITCHELL,4.16909090909091,0.5440776025483216,0.10397980752180852
31,KANSAS_OSBORNE,-0.8142857142857146,-0.13123959110916125,0.7791145111905502
32,KANSAS_OTHER (COMBINED) COUNTIES,2.1783333333333337,0.5295842865981627,0.14255793953075285
33,KANSAS_OTTAWA,10.452380952380954,0.6982722083477564,0.0540703719321585
34,KANSAS_PHILLIPS,4.031666666666667,0.44125549041955037,0.2344586611401851
35,KANSAS_REPUBLIC,4.281666666666668,0.7075604786152951,0.032982373757888185
36,KANSAS_ROOKS,10.614285714285714,0.7388038740369247,0.05784022874472311
37,KANSAS_SMITH,13.509999999999998,0.5050274263447957,0.38546801964626176
38,KANSAS_WASHINGTON,8.755952380952381,0.8621938663673233,0.0058849653985579824
39,LOUISIANA_CALDWELL,40.30000000000001,1.0,0.0
40,LOUISIANA_OTHER (COMBINED) COUNTIES,2.7178571428571434,0.23841198442043854,0.6066632843035226
41,LOUISIANA_OUACHITA,4.040000000000004,0.4512572405130816,0.5487427594869184
42,MARYLAND_BALTIMORE,-0.3285714285714302,-0.059030272102798036,0.8999616059191605
43,MARYLAND_CARROLL,2.181818181818182,0.37953708680771664,0.24962999017343823
44,MARYLAND_FREDERICK,3.25,0.416812374107396,0.20220115453765114
45,MARYLAND_HARFORD,2.890909090909091,0.5368538917837263,0.08860569513311214
46,MARYLAND_HOWARD,0.5678571428571451,0.3801174529529184,0.40028399912892937
47,MARYLAND_MONTGOMERY,9.564285714285715,0.8498985541284421,0.015437224049490189
48,MARYLAND_OTHER (COMBINED) COUNTIES,12.590000000000003,0.7874183831396669,0.11383213581514182
49,MARYLAND_WASHINGTON,3.2333333333333334,0.4578782215573489,0.21520195390370728
50,MINNESOTA_BELTRAMI,-17.330000000000002,-0.7477489742838203,0.2522510257161797
51,MINNESOTA_CASS,2.5,1.0,0.0
52,MINNESOTA_HUBBARD,-1.0499999999999972,-0.0904491075622555,0.88499383878393
53,MINNESOTA_ITASCA,-28.10000000000001,-1.0,0.0
54,MINNESOTA_KOOCHICHING,,0.0,
55,MINNESOTA_OTHER (COMBINED) COUNTIES,22.299999999999997,0.8523378843541793,0.3503681286356091
56,MISSISSIPPI_BENTON,3.7836363636363637,0.6905933184524424,0.027042984188201682
57,MISSISSIPPI_CALHOUN,4.896363636363637,0.6265269849553373,0.03914777977441275
58,MISSISSIPPI_DE SOTO,9.746428571428574,0.718088873998683,0.06914879518534828
59,MISSISSIPPI_GRENADA,7.257142857142862,0.742693233365911,0.09079243299720409
60,MISSISSIPPI_LAFAYETTE,15.634285714285715,0.8884575693918184,0.017968681238430824
61,MISSISSIPPI_MARSHALL,6.45,0.650981354442922,0.23412580207858694
62,MISSISSIPPI_OTHER (COMBINED) COUNTIES,3.540000000000001,0.42991500452048853,0.2481115907279339
63,MISSISSIPPI_PANOLA,3.3212121212121217,0.5624416966227491,0.09055662089873297
64,MISSISSIPPI_TATE,7.0,0.7224890450161806,0.012024925313357132
65,MISSISSIPPI_YALOBUSHA,-4.600000000000023,-1.0,0.0
66,MISSOURI_ADAIR,9.945000000000002,0.6349953400285164,0.06615012763814257
