,index,slope,r,p
0,GEORGIA_APPLING,-7.800000000000001,-0.49231155381954,0.2152231393276697
1,GEORGIA_ATKINSON,-0.08787878787878736,-0.013475880835817978,0.9705268633633052
2,GEORGIA_BACON,-0.4914285714285735,-0.03901116146047727,0.9415129427814447
3,GEORGIA_BAKER,-1.2827272727272736,-0.2580063670626983,0.443683988751742
4,GEORGIA_BANKS,29.200000000000003,0.9311838071811475,0.23755436453664427
5,GEORGIA_BARTOW,5.734999999999999,0.6212198055338947,0.07415614836993431
6,GEORGIA_BEN HILL,7.890000000000001,0.3720120806469738,0.5375035482496731
7,GEORGIA_BERRIEN,3.1047619047619044,0.4882596729835034,0.21960693358576372
8,GEORGIA_BLECKLEY,4.396666666666668,0.6092951821724214,0.0815525712811786
9,GEORGIA_BRANTLEY,3.4799999999999986,0.3411981159073125,0.5741558011619479
10,GEORGIA_BROOKS,-3.3821428571428576,-0.3313320171081705,0.4678731547657404
11,GEORGIA_BULLOCH,-5.332142857142858,-0.4405154335949643,0.27466753893967366
12,GEORGIA_BURKE,0.3200000000000002,0.13281146684435455,0.6970666367376701
13,GEORGIA_CALHOUN,0.5181818181818182,0.12318159768567412,0.7182269652059918
14,GEORGIA_CANDLER,-24.06,-0.7490806692152767,0.25091933078472317
15,GEORGIA_CARROLL,,0.0,
16,GEORGIA_CHATTOOGA,9.456666666666669,0.7112412997070713,0.03167823032431251
17,GEORGIA_CLAY,0.45999999999999663,0.08008931380684275,0.8981362377568592
18,GEORGIA_CLINCH,13.299999999999997,1.0,0.0
19,GEORGIA_COFFEE,2.1372727272727285,0.3849873164630636,0.24233008290419614
20,GEORGIA_COLQUITT,1.2400000000000002,0.23168232739791905,0.5195336105285446
21,GEORGIA_COOK,5.515,0.43962160252342447,0.23640003234760557
22,GEORGIA_COWETA,,0.0,
23,GEORGIA_CRISP,-30.900000000000006,-1.0,0.0
24,GEORGIA_DAWSON,,0.0,
25,GEORGIA_DECATUR,1.2166666666666655,0.28839926049350634,0.45169110674544
26,GEORGIA_DODGE,2.3285714285714274,0.37818041543580844,0.3556202686981865
27,GEORGIA_DOOLY,2.4799999999999955,0.37769261476143,0.5307982541270805
28,GEORGIA_DOUGHERTY,1.7000000000000026,0.17671619513346015,0.8869050494155409
29,GEORGIA_EARLY,1.9511904761904777,0.3923533975153532,0.33634983478454933
